Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Israel/130710062/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447469	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/130711104/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447455	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Croatia/I7-S21new/2020	Europe	Europe	EPI_ISL_454606	Institute for Public Health	Europe	Europe	Laboratory for advanced genomics	Filip Rokić et al
Taiwan/TSGH-23/2020	Taiwan	Taiwan	EPI_ISL_436108	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Thailand/Bangkok-0044/2020	Bangkok	Bangkok	EPI_ISL_429180	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Thailand/Bangkok-0081/2020	Bangkok	Bangkok	EPI_ISL_447022	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Israel/2047604/2020	North District	North District	EPI_ISL_447388	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2089861/2020	Jerusalem District	Jerusalem District	EPI_ISL_447361	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990430264/2020	South Coast District	South Coast District	EPI_ISL_447259	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Thailand/Bangkok-0077/2020	Bangkok	Bangkok	EPI_ISL_447018	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Jordan/SR-036/2020	Amman	Amman	EPI_ISL_429996	Biolab Diagnostic Laboratories	Asia	Asia	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
Jordan/SR-048/2020	Amman	Amman	EPI_ISL_430006	Biolab Diagnostic Laboratories	Asia	Asia	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
Israel/990059244/2020	South Coast District	South Coast District	EPI_ISL_447270	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059237/2020	South Coast District	South Coast District	EPI_ISL_447272	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059204/2020	South Coast District	South Coast District	EPI_ISL_447278	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Singapore/123/2020	Singapore	Singapore	EPI_ISL_443215	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/215/2020	Singapore	Singapore	EPI_ISL_462333	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Beijing/DT-travelCA01/2020	Beijing	North America	EPI_ISL_452331	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
UnitedArabEmirates/L2185/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435130	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
UnitedArabEmirates/L0484/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435123	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Thailand/Bangkok-CONI-0098/2020	Bangkok	Bangkok	EPI_ISL_458027	Hospital for Tropical Diseases	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Israel/2086008/2020	Jerusalem District	Jerusalem District	EPI_ISL_447380	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/13077723/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447427	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Vietnam/HCMC-35005/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450739	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
Canada/ON-UHTC_0091/2020	North America	North America	EPI_ISL_464011	Unity Health Toronto	North America	North America	Ontario Institute for Cancer Research	Ramzi Fattouh et al
France/HF6466/2020	Europe	Europe	EPI_ISL_443315	Château de la Source	Europe	Europe	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al B
Taiwan/TSGH-38/2020	Taiwan	Taiwan	EPI_ISL_458029	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
USA/MI-MDHHS-SC20455/2020	North America	North America	EPI_ISL_459994	Michigan Department of Health and Human Services, Bureau of Laboratories	North America	North America	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship HM et al
Belgium/IMJ-0401373/2020	Europe	Europe	EPI_ISL_462227	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Europe	Europe	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
Germany/BAV-MVP0096/2020	Europe	Europe	EPI_ISL_437288	Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München	Europe	Europe	Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich	Max Muenchhoff et al
USA/NY-NYUMC426/2020	North America	North America	EPI_ISL_435493	NYU Langone Health	North America	North America	Departments of Pathology and Medicine, New York University School of Medicine	Maria Aguero-Rosenfeld et al A
Israel/2023922/2020	Jerusalem District	Jerusalem District	EPI_ISL_447407	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2020068/2020	Jerusalem District	Jerusalem District	EPI_ISL_447413	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Taiwan/108/2020	Taiwan	Taiwan	EPI_ISL_429883	Centers for Disease Control, R.O.C. (Taiwan)	Asia	Asia	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A
Israel/701002317/2020	South Coast District	South Coast District	EPI_ISL_447308	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002440/2020	South Coast District	South Coast District	EPI_ISL_447301	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002313/2020	South Coast District	South Coast District	EPI_ISL_447310	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Norway/2387/2020	Europe	Europe	EPI_ISL_449792	Dept. of Medical Microbiology, Stavanger University Hospital, Helse Stavanger HF	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Israel/701002462/2020	South Coast District	South Coast District	EPI_ISL_447296	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Thailand/Bangkok-0038/2020	Bangkok	Bangkok	EPI_ISL_429174	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Israel/701002561/2020	South Coast District	South Coast District	EPI_ISL_447288	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Vietnam/HCMC-05004/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450738	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
Vietnam/HCMC-35021/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450745	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
Thailand/Bangkok-0058/2020	Bangkok	Bangkok	EPI_ISL_447000	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Israel/990333193/2020	South Coast District	South Coast District	EPI_ISL_447260	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990333189/2020	South Coast District	South Coast District	EPI_ISL_447261	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
USA/WI-UW-05/2020	North America	North America	EPI_ISL_416492	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	North America	North America	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
Argentina/PAIS_A003/2020	South America	South America	EPI_ISL_430795	Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	South America	South America	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Nabaes Jodar et al B
Singapore/278/2020	Singapore	Singapore	EPI_ISL_462396	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Fujian/IM3520014T/2020	Fujian	Fujian	EPI_ISL_431782	Fujian Center for Disease Control and Prevention	Asia	Asia	Fujian Center for Disease Control and Prevention	Lin Qi et al
Singapore/274/2020	Singapore	Singapore	EPI_ISL_462392	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Thailand/Bangkok-0048/2020	Bangkok	Bangkok	EPI_ISL_429184	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Vietnam/HCMC-35018/2020	Ho Chi Minh City	Ho Chi Minh City	EPI_ISL_450742	OUCRU/HTD	Asia	Asia	OUCRU/HTD	Nguyen Van Vinh Chau et al
Israel/990059202/2020	South Coast District	South Coast District	EPI_ISL_447280	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
India/NCDC-01326/2020	Delhi	Delhi	EPI_ISL_435063	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Taiwan/NTU09/2020	Taiwan	Europe	EPI_ISL_422412	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	Europe	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
Thailand/Bangkok-0075/2020	Bangkok	Bangkok	EPI_ISL_447016	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Israel/2046171/2020	North District	North District	EPI_ISL_447405	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Australia/VIC1041/2020	Oceania	Oceania	EPI_ISL_430536	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Oceania	Oceania	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Thailand/Bangkok-0070/2020	Bangkok	Bangkok	EPI_ISL_447012	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
Scotland/EDB2456/2020	Europe	Europe	EPI_ISL_439212	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	Europe	Europe	COVID-19 Genomics UK (COG-UK) Consortium	McHugh M et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
Georgia/Tb-1352/2020	Tbilisi	Tbilisi	EPI_ISL_420140	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-6572/2020	Tbilisi	Tbilisi	EPI_ISL_447056	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Gvantsa Brachveli et al
Georgia/Tb-6598/2020	Tbilisi	Tbilisi	EPI_ISL_447055	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
Israel/701002458/2020	South Coast District	South Coast District	EPI_ISL_447297	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Sweden/20-51391/2020	Europe	Europe	EPI_ISL_455108	Smedby HC	Europe	Europe	The Public Health Agency of Sweden	Susanne Brunby et al
Israel/701002426/2020	South Coast District	South Coast District	EPI_ISL_447303	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/990059233/2020	South Coast District	South Coast District	EPI_ISL_447273	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Sweden/20-07025/2020	Europe	Europe	EPI_ISL_434663	Surbrunns VC	Europe	Europe	The Public Health Agency of Sweden	Erik Embring et al
Israel/701002591/2020	South Coast District	South Coast District	EPI_ISL_447287	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002540/2020	South Coast District	South Coast District	EPI_ISL_447292	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Chile/Santiago_69/2020	South America	South America	EPI_ISL_445365	HOSPITAL DR.SOTERO DEL RIO	South America	South America	Instituto de Salud Publica de Chile	Andrés E Castillo et al
India/NCDC-01705/2020	Delhi	Delhi	EPI_ISL_435064	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Singapore/110/2020	Singapore	Singapore	EPI_ISL_443202	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Canada/ON_PHL3380/2020	North America	North America	EPI_ISL_418350	Public Health Ontario Laboratories	North America	North America	Public Health Ontario Laboratories	Alireza Eshaghi et al
Singapore/151/2020	Singapore	Singapore	EPI_ISL_443243	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Israel/701002489/2020	South Coast District	South Coast District	EPI_ISL_447295	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/51140271/2020	South Coast District	South Coast District	EPI_ISL_447326	Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/701002538/2020	South Coast District	South Coast District	EPI_ISL_447293	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Chile/Santiago_58/2020	South America	South America	EPI_ISL_445354	HOSPITAL DE CARABINEROS	South America	South America	Instituto de Salud Publica de Chile	Andrés E Castillo et al
Chile/Santiago_81/2020	South America	South America	EPI_ISL_445379	IMALAB- HOSPITAL FACH	South America	South America	Instituto de Salud Publica de Chile	Andrés E Castillo et al
